x_mm,y_mm
191.4,16.0
143.4,14.5
141.9,41.5
102.4,41.5
99.9,59.5
66.9,61.0
64.4,58.0
63.9,31.0
24.9,33.0
17.9,38.5
17.4,82.0
42.9,83.5
44.4,92.5
41.4,101.5
15.9,101.5
14.4,134.5
17.4,143.5
87.9,143.5
102.9,121.0
120.9,120.0
132.9,122.5
131.9,149.5
152.4,149.5
156.9,145.0
156.9,88.0
144.9,85.0
145.4,64.0
180.9,62.5
181.4,47.0
204.9,47.5
210.9,50.5
210.4,98.5
213.9,103.0
219.9,103.0
219.9,124.0
215.4,128.5
188.4,128.0
185.9,134.5
183.9,179.5
178.4,182.5
176.4,199.0
149.4,184.0
144.9,172.0
120.4,172.5
105.9,185.5
102.9,200.5
65.4,199.0
41.4,182.0
19.9,181.5
18.9,187.0
