x_mm,y_mm
202.2,8.7
155.7,6.2
152.2,11.7
151.2,34.2
112.2,33.2
107.7,52.2
76.2,51.7
73.7,49.2
74.7,25.2
71.7,22.7
32.7,24.7
29.7,26.7
27.2,68.7
29.7,74.7
50.7,73.7
53.7,75.7
52.2,91.2
26.2,91.7
24.7,131.7
32.7,134.7
96.7,134.7
110.7,113.7
137.7,113.2
140.7,115.2
140.2,142.2
143.7,143.7
164.2,142.7
166.2,83.7
161.7,78.2
154.2,77.7
152.7,74.7
154.2,58.2
189.7,56.7
190.7,44.7
194.7,40.2
220.2,42.2
222.2,94.2
224.2,97.2
230.7,97.7
230.7,122.7
197.2,124.2
195.2,172.2
189.7,176.7
187.2,194.7
160.2,179.7
156.2,167.7
152.7,166.7
127.2,167.7
115.2,179.7
113.2,191.7
109.2,193.2
71.7,191.2
50.7,174.2
31.2,173.2
28.2,179.7
